Level,Organization Name,Parent Organization Name,Account Type Alias,Current Balance,Avaliable Balance,Reserved Balance,Unclear Balance
1	,"	462300-XAWADLOW COMPANY LIMITED"	,	,Commission Account	,"KSH51,792.21"	,"KSH51,792.21"	,"KSH0.00"	,"KSH0.00"	
2	,"	2000004-Xawadlow Co LtdJAMBO MINI MARKET LEKURU CENTRE Agg"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH3,097.01"	,"KSH3,097.01"	,"KSH0.00"	,"KSH0.00"	
2	,"	2000005-Xawadlow Co Ltd lovy fashion salga Nakuru West"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH2,772.00"	,"KSH2,772.00"	,"KSH0.00"	,"KSH0.00"	
2	,"	2003257-Xawadlow Co Ltd TUMAINI SHOP MAJANI MINGI AREAAgg"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH1,579.39"	,"KSH1,579.39"	,"KSH0.00"	,"KSH0.00"	
2	,"	2003258-Xawadlow Co Ltd SAM DEN COMPUTERS agg"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH6,130.17"	,"KSH6,130.17"	,"KSH0.00"	,"KSH0.00"	
2	,"	2006666-Xawadlow Co Ltd MAMA JOSHUA SHOP BULBULNGONG KAJIADO"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH4,772.51"	,"KSH4,772.51"	,"KSH0.00"	,"KSH0.00"	
2	,"	2006667-Xawadlow Co Ltd NOAH SHOP CHEPSEON mktAgg"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH5,580.55"	,"KSH5,580.55"	,"KSH0.00"	,"KSH0.00"	
2	,"	2006668-Xawadlow Co Ltd KATHIANI AGROVET KITUI KATHIANI TOWN"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH929.60"	,"KSH929.60"	,"KSH0.00"	,"KSH0.00"	
2	,"	2016099-XAWADLOW CO MESWO TRADING CENTRE NEAR KIPKEIBON SEC SCH MOSORIOT LESSOS"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH374.40"	,"KSH374.40"	,"KSH0.00"	,"KSH0.00"	
2	,"	2019002-Xawadlow Co Ltd MAJI STORES MAJI MAZURI ELDAMA RAVINE"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH29,832.09"	,"KSH29,832.09"	,"KSH0.00"	,"KSH0.00"	
2	,"	2019674-Xawadlow Co Ltd ELOHIM SHOP Kisauni"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH2,645.37"	,"KSH2,645.37"	,"KSH0.00"	,"KSH0.00"	
2	,"	2024647-Xawadlow Co Ltd 001 PUB LOKICHOR NEAR JAMCITY"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH4,225.79"	,"KSH4,225.79"	,"KSH0.00"	,"KSH0.00"	
2	,"	2027053-Xawadlow Co Ltd NAKILORO SHOP TOWN CHINI LODWAR TOWN"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH3,380.90"	,"KSH3,380.90"	,"KSH0.00"	,"KSH0.00"	
2	,"	2035630-XAWADLOW COMPANY ACE ELECTRICALS KIAMBU"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH1,348.40"	,"KSH1,348.40"	,"KSH0.00"	,"KSH0.00"	
2	,"	2035631-Xawadlow Co Ltd VIGETSE SHOP VIHIGA TOWN"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH4,182.28"	,"KSH4,182.28"	,"KSH0.00"	,"KSH0.00"	
2	,"	2035632-Xawadlow Co LtdT WA MINI MARKET MATASIA KISERIAN"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH5,320.89"	,"KSH5,320.89"	,"KSH0.00"	,"KSH0.00"	
2	,"	2048019-Xawadlow Co Ltd KISERIAN FAIRDEAL WEARS"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH634.60"	,"KSH634.60"	,"KSH0.00"	,"KSH0.00"	
2	,"	2048020-Xawadlow Co Ltd MAMA DEHOFY SHOP SIKHENDU CENTRE KAKAMEGA"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH7,610.94"	,"KSH7,610.94"	,"KSH0.00"	,"KSH0.00"	
2	,"	2054579-Xawadlow Co Ltd NTASHART HOLDINGS Olenguru One"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH2,098.89"	,"KSH2,098.89"	,"KSH0.00"	,"KSH0.00"	
2	,"	2054580-Xawadlow Co Ltd ZACHARY SMALL HARDWARE EBIGOGO CENTRE Agg"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH9,082.57"	,"KSH9,082.57"	,"KSH0.00"	,"KSH0.00"	
2	,"	2055618-Xawadlow Co Ltd GULF SHOP"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH8,810.49"	,"KSH8,810.49"	,"KSH0.00"	,"KSH0.00"	
2	,"	2055619-Xawadlow Co Ltd HODAN GENERAL SHOP Molo"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH5,141.60"	,"KSH5,141.60"	,"KSH0.00"	,"KSH0.00"	
2	,"	2055620-Xawadlow Co Ltd NAHUM TRADING MARIAKANI"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH161.60"	,"KSH161.60"	,"KSH0.00"	,"KSH0.00"	
2	,"	2055796-Xawadlow Co Ltd Himaki Centre Nandi MOI UNIVERSITY KAPSABET"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH0.00"	,"KSH0.00"	,"KSH0.00"	,"KSH0.00"	
2	,"	2059872-Xawadlow Co Ltd MAMA CECILIA KIOSK SAMBUT"	,XAWADLOW COMPANY LIMITED	,Commission Account	,"KSH7,159.40"	,"KSH7,159.40"	,"KSH0.00"	,"KSH0.00"	
